Nom de la commune;Code commune;Salaire_2022;Salaire_2023;Salaire_evol
Issy-les-Moulineaux;92040;4 667;4 763;0,021
Calais;62193;2 225;2 336;0,05
Pessac;33318;2 729;2 786;0,021
Colmar;68066;2 409;2 524;0,048
Évry-Courcouronnes;91228;2 793;2 875;0,029
Vénissieux;69259;2 551;2 668;0,046
Ivry-sur-Seine;94041;2 967;3 085;0,04
Valence;26362;2 359;2 474;0,049
Clichy;92024;3 889;3 934;0,012
Quimper;29232;2 300;2 389;0,039
Antony;92002;3 260;3 324;0,02
Bourges;18033;2 353;2 434;0,034
La Seyne-sur-Mer;83126;2 253;2 325;0,032
Montauban;82121;2 199;2 303;0,047
Villeneuve-d'Ascq;59009;2 716;2 852;0,05
Cayenne;973302;;;
Le Blanc-Mesnil;93007;2 223;2 294;0,032
Troyes;10387;2 258;2 357;0,044
Pantin;93055;3 154;3 250;0,03
Villejuif;94076;2 989;3 075;0,029
Chambéry;73065;2 427;2 554;0,052
Niort;79191;2 671;2 775;0,039
Fréjus;83061;2 192;2 278;0,039
Neuilly-sur-Seine;92051;4 415;4 508;0,021
Sarcelles;95585;2 183;2 237;0,025
Saint-André;974409;;;
Clamart;92023;3 318;3 347;0,009
Lorient;56121;2 410;2 549;0,058
Narbonne;11262;2 163;2 241;0,036
Bobigny;93008;2 444;2 535;0,037
Meaux;77284;2 218;2 282;0,029
Maisons-Alfort;94046;3 026;3 235;0,069
Hyères;83069;2 149;2 242;0,043
Vannes;56260;2 322;2 414;0,04
Beauvais;60057;2 325;2 416;0,039
Saint-Louis;974414;;;
La Roche-sur-Yon;85191;2 255;2 354;0,044
Chelles;77108;2 331;2 405;0,032
Corbeil-Essonnes;91174;2 395;2 445;0,021
Saint-Laurent-du-Maroni;973311;;;
Cholet;49099;2 318;2 419;0,044
Bayonne;64102;2 308;2 393;0,037
Fontenay-sous-Bois;94033;3 416;3 619;0,059
Saint-Ouen-sur-Seine;93070;3 582;3 716;0,037
Cagnes-sur-Mer;06027;2 313;2 402;0,038
Vaulx-en-Velin;69256;2 468;2 567;0,04
Épinay-sur-Seine;93031;1 970;2 047;0,039
Saint-Quentin;02691;2 078;2 163;0,041
Sartrouville;78586;2 366;2 441;0,032
Sevran;93071;1 964;2 015;0,026
Arles;13004;2 184;2 256;0,033
Massy;91377;3 588;3 879;0,081
Albi;81004;2 220;2 331;0,05
Les Abymes;971101;;;
Gennevilliers;92036;3 042;3 161;0,039
Saint-Herblain;44162;2 657;2 775;0,044
Grasse;06069;2 451;2 541;0,037
Bondy;93010;2 041;2 069;0,014
Les Sables-d'Olonne;85194;2 186;2 261;0,034
Laval;53130;2 373;2 473;0,042
Évreux;27229;2 329;2 428;0,043
Saint-Priest;69290;2 988;3 089;0,034
Suresnes;92073;4 131;4 281;0,036
Martigues;13056;2 838;2 897;0,021
Vincennes;94080;3 004;3 033;0,01
Aubagne;13005;2 428;2 491;0,026
Saint-Malo;35288;2 274;2 347;0,032
Livry-Gargan;93046;2 046;2 116;0,034
Blois;41018;2 339;2 452;0,048
Rosny-sous-Bois;93064;2 317;2 339;0,009
La Courneuve;93027;2 461;2 551;0,037
Brive-la-Gaillarde;19031;2 268;2 369;0,045
Bastia;2B033;2 323;2 414;0,039
Talence;33522;2 423;2 555;0,054
Meudon;92048;4 097;4 386;0,071
Montrouge;92049;4 507;4 711;0,045
Alès;30007;2 087;2 174;0,042
Carcassonne;11069;2 074;2 173;0,048
Melun;77288;2 409;2 499;0,037
Choisy-le-Roi;94022;2 436;2 497;0,025
Saint-Germain-en-Laye;78551;;;
Belfort;90010;2 537;2 675;0,054
Charleville-Mézières;08105;2 152;2 258;0,049
Alfortville;94002;2 462;2 547;0,035
Noisy-le-Sec;93053;2 438;2 561;0,05
Sète;34301;2 304;2 385;0,035
Chalon-sur-Saône;71076;2 429;2 539;0,045
Bagneux;92007;3 238;3 507;0,083
Tarbes;65440;2 150;2 246;0,045
Saint-Brieuc;22278;2 209;2 297;0,04
Istres;13047;2 446;2 510;0,026
Salon-de-Provence;13103;2 156;2 260;0,048
Puteaux;92062;5 056;5 210;0,03
Caluire-et-Cuire;69034;2 508;2 589;0,032
Rezé;44143;2 244;2 318;0,033
Mantes-la-Jolie;78361;2 204;2 339;0,061
